,child,parent
5496,n12324388,n13109733
5497,n12324558,n13109733
5498,n12329473,n13109733
5499,n12330239,n13109733
5500,n12330587,n12330469
5501,n12330469,n13109733
5502,n12345899,n13109733
5503,n12363301,n13109733
5504,n12366870,n13109733
5505,n12396091,n13109733
5506,n12403994,n13109733
5507,n12404729,n13109733
5508,n12491017,n13109733
5509,n12494794,n13109733
5510,n12513613,n13109733
5511,n12513933,n13109733
5512,n12643113,n13109733
5513,n11694300,n11693981
5514,n11694469,n11693981
5515,n11694664,n11693981
5516,n11694866,n11693981
5517,n11695085,n11693981
5518,n11695285,n11693981
5519,n11695599,n11693981
5520,n11693981,n12651821
5521,n11706761,n12651821
5522,n12190869,n12651821
5523,n12299640,n12651821
5524,n12301180,n12300840
5525,n12301613,n12300840
5526,n12301766,n12300840
5527,n12300840,n12651821
5528,n12327528,n12651821
5529,n12331655,n12651821
5530,n12332030,n12651821
5531,n12332218,n12651821
5532,n12333053,n12651821
5533,n12333530,n12651821
5534,n12333771,n12651821
5535,n12333961,n12651821
5536,n12334153,n12651821
5537,n12345280,n12651821
5538,n12366675,n12651821
5539,n12370174,n12651821
5540,n12373100,n12651821
5541,n12399384,n12399132
5542,n12399534,n12399132
5543,n12399656,n12399132
5544,n12399132,n12651821
5545,n12400489,n12651821
5546,n12400720,n12651821
5547,n12400924,n12651821
5548,n12625003,n12651821
5549,n12628986,n12651821
5550,n12629666,n12651821
5551,n12633994,n12633638
5552,n12634986,n12634211
5553,n12635151,n12634211
5554,n12635359,n12634211
5555,n12635955,n12635744
5556,n12635744,n12634211
5557,n12634211,n12633638
5558,n12634734,n12634429
5559,n12635532,n12634429
5560,n12634429,n12633638
5561,n12633638,n12651821
5562,n12636224,n12651821
5563,n12638753,n12638556
5564,n12638964,n12638556
5565,n12639168,n12638556
5566,n12639376,n12638556
5567,n12646397,n12638556
5568,n12638556,n12638218
5569,n12639584,n12638218
5570,n12639910,n12639736
5571,n12639736,n12638218
5572,n12640081,n12638218
5573,n12640284,n12638218
5574,n12643313,n12638218
5575,n12648693,n12638218
5576,n12649866,n12638218
5577,n12638218,n12651821
5578,n12640435,n12651821
5579,n12640839,n12640607
5580,n12641007,n12640607
5581,n12641180,n12640607
5582,n12640607,n12651821
5583,n12647560,n12647376
5584,n12647893,n12647376
5585,n12647376,n12641931
5586,n12648888,n12641931
5587,n12641931,n12641413
5588,n12642435,n12642200
5589,n12642600,n12642200
5590,n12642200,n12641413
5591,n12642964,n12641413
5592,n12643688,n12643473
5593,n12643877,n12643473
5594,n12644057,n12643473
5595,n12643473,n12641413
5596,n12647231,n12641413
5597,n12646605,n12649065
5598,n12649317,n12649065
5599,n12649539,n12649065
5600,n12650038,n12649065
5601,n12649065,n12641413
5602,n12650915,n12650556
5603,n12650556,n12641413
5604,n12641413,n12651821
5605,n12646072,n12645174
5606,n12645174,n12644902
5607,n12645530,n12644902
5608,n12646197,n12644902
5609,n12646740,n12644902
5610,n12650229,n12644902
5611,n12650379,n12644902
5612,n12644902,n12651821
5613,n12648045,n12651821
5614,n12648196,n12651821
5615,n12651611,n12651821
5616,n12667582,n12667406
5617,n12667406,n12651821
5618,n12704343,n12651821
5619,n12704513,n12651821
5620,n12708654,n12708293
5621,n12708941,n12708293
5622,n12710693,n12708293
5623,n12710917,n12708293
5624,n12708293,n12707781
5625,n12709103,n12707781
5626,n12709349,n12707781
5627,n12709688,n12707781
5628,n12710295,n12709901
5629,n12710415,n12709901
5630,n12710577,n12709901
5631,n12709901,n12707781
5632,n12711182,n12707781
5633,n12711398,n12707781
5634,n12711817,n12711596
5635,n12711817,n12707432
5636,n12711596,n12707781
5637,n12711984,n12707781
5638,n12712320,n12707781
5639,n12713358,n12713063
5640,n12713521,n12713063
5641,n12713063,n12707781
5642,n12707781,n12651821
5643,n12717644,n12651821
5644,n12742290,n12651821
5645,n12743352,n12651821
5646,n12744387,n12651821
5647,n12744850,n12651821
5648,n12745386,n12651821
5649,n12745564,n12651821
5650,n12761284,n12651821
5651,n12765846,n12651821
5652,n12766043,n12651821
5653,n12771390,n12771192
5654,n12771597,n12771192
5655,n12771890,n12771192
5656,n12771192,n12651821
5657,n12773651,n12651821
5658,n12774641,n12651821
5659,n12775717,n12651821
5660,n12651821,n13109733
5661,n12658308,n12658118
5662,n12658603,n12658118
5663,n12658715,n12658118
5664,n12659064,n12658846
5665,n12658846,n12658118
5666,n12658118,n13109733
5667,n12717224,n12717072
5668,n12717072,n13109733
5669,n12721477,n13109733
5670,n12722071,n13109733
5671,n12722567,n13109733
5672,n12731835,n12731401
5673,n12732009,n12731401
5674,n12732252,n12731401
5675,n12732605,n12732491
5676,n12732491,n12731401
5677,n12732966,n12732756
5678,n12733218,n12732756
5679,n12733428,n12732756
5680,n12732756,n12731401
5681,n12733870,n12733647
5682,n12734070,n12733647
5683,n12734215,n12733647
5684,n12733647,n12731401
5685,n12731401,n13109733
5686,n12751172,n13109733
5687,n12753007,n12752205
5688,n12753245,n12752205
5689,n12753573,n12752205
5690,n12753762,n12752205
5691,n12754003,n12752205
5692,n12754174,n12752205
5693,n12754311,n12752205
5694,n12754468,n12752205
5695,n12754648,n12752205
5696,n12754781,n12752205
5697,n12754981,n12752205
5698,n12755387,n12755225
5699,n12755225,n12752205
5700,n12755559,n12752205
5701,n12755727,n12752205
5702,n12755876,n12752205
5703,n12752205,n13109733
5704,n12757303,n12756457
5705,n12757458,n12756457
5706,n12757668,n12756457
5707,n12757816,n13100156
5708,n12757816,n12756457
5709,n12757930,n12756457
5710,n12758014,n12756457
5711,n12758099,n12756457
5712,n12758176,n12756457
5713,n12758250,n12756457
5714,n12758325,n12756457
5715,n12758399,n12756457
5716,n12758471,n12756457
5717,n12758555,n12756457
5718,n12756457,n13109733
5719,n12761905,n13109733
5720,n12768809,n12768369
5721,n12768933,n12768369
5722,n12769065,n12768369
5723,n12769219,n12768369
5724,n12769318,n12768369
5725,n12768369,n13109733
5726,n12773917,n13109733
5727,n12778398,n12778219
5728,n12778219,n13109733
5729,n12818346,n13109733
5730,n12925583,n13109733
5731,n12926039,n13109733
5732,n12927494,n13109733
5733,n12927758,n13109733
5734,n12947313,n12946849
5735,n12947544,n12946849
5736,n12947756,n12946849
5737,n12947895,n12946849
5738,n12948053,n12946849
5739,n12948251,n12946849
5740,n12948495,n12946849
5741,n12946849,n13109733
5742,n12197359,n13110915
5743,n12221368,n12221191
5744,n12221522,n12221191
5745,n12221801,n12221191
5746,n12221191,n13110915
5747,n12289310,n12288823
5748,n12289433,n12288823
5749,n12289585,n12288823
5750,n12288823,n13110915
5751,n12318782,n12318378
5752,n12318965,n12318378
5753,n12319204,n12318378
5754,n12319414,n12318378
5755,n12318378,n13110915
5756,n12320414,n12320010
5757,n12320627,n12320010
5758,n12320806,n12320010
5759,n12321395,n12320010
5760,n12321669,n12320010
5761,n12321873,n12320010
5762,n12322099,n12320010
5763,n12320010,n13110915
5764,n12321077,n13110915
5765,n12322699,n12322501
5766,n12322501,n13110915
5767,n12327846,n13110915
5768,n12759273,n13110915
5769,n12761702,n13110915
5770,n13110915,n13109733
5771,n11714382,n13111174
5772,n12331066,n13111174
5773,n12331263,n13111174
5774,n12339526,n13111174
5775,n13111174,n13109733
5776,n13109733,n13104059
5777,n13111340,n13104059
5778,n13112035,n13111881
5779,n13112201,n13111881
5780,n13142907,n13104059
5781,n13144084,n13104059
5782,n13240362,n13104059
5783,n13104059,n13103136
5784,n11598287,n13112664
5785,n11598886,n11598686
5786,n11598686,n13112664
5787,n11652966,n13112664
5788,n11656549,n13112664
5789,n11656771,n13112664
5790,n11657153,n13112664
5791,n11697802,n11697560
5792,n11698042,n11697560
5793,n11698245,n11697560
5794,n11697560,n13112664
5795,n11698562,n13112664
5796,n11699442,n13112664
5797,n11699751,n13112664
5798,n11701066,n11700864
5799,n11701302,n11700864
5800,n11700864,n13112664
5801,n11701698,n13112664
5802,n11706325,n13112664
5803,n11740414,n13112664
5804,n11741175,n13112664
5805,n11741575,n11741350
5806,n11741797,n11741350
5807,n11741350,n13112664
5808,n11742310,n13112664
5809,n11742878,n13112664
5810,n11755110,n11754893
5811,n11755319,n11754893
5812,n11754893,n13112664
5813,n11760294,n13112664
5814,n11760785,n13112664
5815,n11763142,n13112664
5816,n11764814,n13112664
5817,n11765568,n11765277
5818,n11765859,n11765277
5819,n11766189,n11765277
5820,n11765277,n13112664
5821,n11768505,n13112664
5822,n11768816,n13112664
5823,n11769176,n13112664
5824,n11771746,n11771539
5825,n11771924,n11771539
5826,n11771539,n13112664
5827,n11774795,n11774513
5828,n11774972,n11774513
5829,n11774513,n13112664
5830,n11775626,n11775340
5831,n11775340,n13112664
5832,n11776234,n11775959
5833,n11775959,n13112664
5834,n11776511,n13112664
5835,n11777080,n13112664
5836,n11797508,n13112664
5837,n11798496,n13112664
5838,n11798688,n13112664
5839,n11800565,n13112664
5840,n11827541,n13112664
5841,n11831297,n11830906
5842,n11831521,n11830906
5843,n11830906,n13112664
5844,n11831874,n13112664
5845,n11833373,n13112664
5846,n11834654,n13112664
5847,n11834890,n13112664
5848,n11835251,n13112664
5849,n11865276,n11865071
5850,n11865429,n11865071
5851,n11865574,n11865071
5852,n11865738,n11865071
5853,n11865874,n11865071
5854,n11865071,n13112664
5855,n11874878,n13112664
5856,n11905035,n13112664
5857,n11926365,n13112664
5858,n11930203,n11928352
5859,n11928352,n13112664
5860,n11938261,n13112664
5861,n11938556,n13112664
5862,n11938732,n13112664
5863,n11952541,n11952346
5864,n11952346,n13112664
5865,n11976933,n13112664
5866,n11996677,n13112664
5867,n11998317,n11997969
5868,n11998492,n11997969
5869,n11997969,n13112664
5870,n11999278,n13112664
5871,n12009420,n13112664
5872,n12011620,n13112664
5873,n12019035,n12018760
5874,n12018760,n13112664
5875,n12097396,n13112664
5876,n12097556,n13112664
5877,n12098524,n13112664
5878,n12099972,n13112664
5879,n12100187,n13112664
5880,n12171098,n12170585
5881,n12171316,n12170585
5882,n12171503,n12170585
5883,n12172481,n12170585
5884,n12173069,n12170585
5885,n12173912,n12173664
5886,n12173664,n12170585
5887,n12174521,n12174311
5888,n12174311,n12170585
5889,n12175181,n12174926
5890,n12175370,n12174926
5891,n12175598,n12174926
5892,n12174926,n12170585
5893,n12178129,n12177844
5894,n12178494,n12177844
5895,n12178780,n12177844
5896,n12178896,n12177844
5897,n12179122,n12177844
5898,n12179391,n12177844
5899,n12179632,n12177844
5900,n12179907,n12177844
5901,n12180168,n12177844
5902,n12180456,n12177844
5903,n12177844,n12170585
5904,n12181352,n12170585
5905,n12181612,n12170585
5906,n12182276,n12182049
5907,n12182049,n12170585
5908,n12183026,n12170585
5909,n12183452,n12170585
5910,n12183816,n12170585
5911,n12184095,n12170585
5912,n12184468,n12170585
5913,n12186352,n12170585
5914,n12186554,n12170585
5915,n12186839,n12170585
5916,n12187247,n12170585
5917,n12187891,n12187663
5918,n12187663,n12170585
5919,n12170585,n13112664
5920,n12176278,n12175949
5921,n12176453,n12175949
5922,n12176709,n12175949
5923,n12176953,n12175949
5924,n12177129,n12175949
5925,n12177249,n12175949
5926,n12177455,n12175949
5927,n12175949,n13112664
5928,n12182615,n13112664
5929,n12184912,n13112664
5930,n12185859,n13112664
5931,n12193665,n13112664
5932,n12197901,n13112664
5933,n12198793,n13112664
5934,n12199399,n12199266
5935,n12199266,n13112664
5936,n12200504,n13112664
5937,n12205104,n13112664
5938,n12205460,n13112664
5939,n12215022,n12214789
5940,n12215210,n12214789
5941,n12214789,n13112664
5942,n12215824,n12215579
5943,n12215579,n13112664
5944,n12216215,n13112664
5945,n12216628,n13112664
5946,n12216968,n13112664
5947,n12217851,n12217586
5948,n12218054,n12217586
5949,n12218274,n12217586
5950,n12218490,n12217586
5951,n12217586,n12217453
5952,n12217453,n13112664
5953,n12218868,n13112664
5954,n12219065,n13112664
5955,n12219289,n13112664
5956,n12220019,n13112664
5957,n12220829,n13112664
5958,n12222493,n13112664
5959,n12223569,n13112664
5960,n12223764,n13112664
5961,n12224140,n13112664
5962,n12227658,n12227420
5963,n12228229,n12227420
5964,n12228387,n12227420
5965,n12228546,n12227420
5966,n12228689,n12227420
5967,n12228886,n12227420
5968,n12229111,n12227420
5969,n12227420,n12226932
5970,n12232851,n12226932
5971,n12233529,n12226932
5972,n12233998,n12226932
5973,n12234669,n12226932
5974,n12242850,n12226932
5975,n12243109,n12226932
5976,n12226932,n13112664
5977,n12229651,n12229443
5978,n12229887,n12229443
5979,n12229443,n13112664
5980,n12230540,n12230347
5981,n12230794,n12230347
5982,n12230347,n13112664
5983,n12231358,n12231192
5984,n12231709,n12231192
5985,n12231192,n13112664
5986,n12232114,n12231918
5987,n12232280,n12231918
5988,n12232503,n12231918
5989,n12231918,n13112664
5990,n12233249,n13112664
5991,n12234318,n13112664
5992,n12235051,n13112664
5993,n12236160,n13112664
5994,n12236768,n12236546
5995,n12236977,n12236546
5996,n12237152,n12236546
5997,n12236546,n13112664
5998,n12237641,n12237486
5999,n12237855,n12237486
6000,n12238073,n12237486
6001,n12237486,n13112664
6002,n12238491,n13112664
6003,n12238756,n13112664
6004,n12238913,n13112664
6005,n12239240,n13112664
6006,n12239647,n13112664
6007,n12239880,n13112664
6008,n12240150,n13112664
6009,n12240477,n13112664
6010,n12240965,n13112664
6011,n12241192,n13112664
6012,n12241426,n13112664
6013,n12241880,n13112664
6014,n12242123,n13112664
6015,n12243459,n13112664
6016,n12243693,n13112664
6017,n12244458,n12244153
6018,n12244650,n12244153
6019,n12244819,n12244153
6020,n12245319,n12244153
6021,n12244153,n13112664
6022,n12245885,n12245695
6023,n12246037,n12245695
6024,n12249542,n12245695
6025,n12245695,n13112664
6026,n12246641,n12246232
6027,n12246773,n12246232
6028,n12246941,n12246232
6029,n12247202,n12246232
6030,n12247407,n12246232
6031,n12247664,n12246232
6032,n12247963,n12246232
6033,n12248141,n12246232
6034,n12248359,n12246232
6035,n12248574,n12246232
6036,n12248780,n12246232
6037,n12248941,n12246232
6038,n12249122,n12246232
6039,n12249294,n12246232
6040,n12246232,n13112664
6041,n12250180,n13112664
6042,n12251740,n13112664
6043,n12253487,n12253229
6044,n12253664,n12253229
6045,n12253835,n12253229
6046,n12253229,n12252866
6047,n12254667,n12252866
6048,n12254891,n12252866
6049,n12252866,n13112664
6050,n12254168,n13112664
6051,n12255225,n13112664
6052,n12265083,n13112664
6053,n12279060,n13112664
6054,n12302692,n12302565
6055,n12302565,n13112664
6056,n12303083,n13112664
6057,n12306938,n12306717
6058,n12307076,n12306717
6059,n12307240,n12306717
6060,n12307455,n12306717
6061,n12306717,n13112664
6062,n12308112,n12307756
6063,n12308259,n12307756
6064,n12308447,n12307756
6065,n12308664,n12307756
6066,n12308907,n12307756
6067,n12309052,n12307756
6068,n12309277,n12307756
6069,n12307756,n13112664
6070,n12310021,n13112664
6071,n12310638,n12310349
6072,n12310840,n12310349
6073,n12311045,n12310349
6074,n12311224,n12310349
6075,n12311413,n12310349
6076,n12311579,n12310349
6077,n12310349,n13112664
6078,n12315060,n12314808
6079,n12315245,n12314808
6080,n12314808,n13112664
6081,n12315598,n13112664
6082,n12315999,n13112664
6083,n12324222,n13112664
6084,n12326033,n12325787
6085,n12326178,n12325787
6086,n12326369,n12325787
6087,n12325787,n13112664
6088,n12329260,n13112664
6089,n12332555,n13112664
6090,n12343753,n12343480
6091,n12343951,n12343480
6092,n12343480,n13112664
6093,n12346813,n12346578
6094,n12346986,n12346578
6095,n12347158,n12346578
6096,n12346578,n13112664
6097,n12347639,n13112664
6098,n12349315,n13112664
6099,n12349711,n13112664
6100,n12363768,n13112664
6101,n12372233,n13112664
6102,n12374705,n12374418
6103,n12374862,n12374418
6104,n12374418,n13112664
6105,n12375769,n12375518
6106,n12376073,n12375518
6107,n12376240,n12375518
6108,n12375518,n13112664
6109,n12378249,n13112664
6110,n12378753,n13112664
6111,n12380761,n13112664
6112,n12381095,n13112664
6113,n12381931,n12381511
6114,n12382233,n12381511
6115,n12381511,n13112664
6116,n12382875,n13112664
6117,n12386462,n13112664
6118,n12386945,n13112664
6119,n12397210,n12396924
6120,n12397431,n12396924
6121,n12396924,n13112664
6122,n12463134,n13112664
6123,n12478506,n13112664
6124,n12482437,n12482031
6125,n12482668,n12482031
6126,n12482893,n12482031
6127,n12483091,n12482031
6128,n12483282,n12482031
6129,n12483427,n12482031
6130,n12483625,n12482031
6131,n12483841,n12482031
6132,n12484029,n12482031
6133,n12484244,n12482031
6134,n12482031,n13112664
6135,n12485653,n13112664
6136,n12489046,n13112664
6137,n12490827,n13112664
6138,n12493868,n13112664
6139,n12497669,n13112664
6140,n12498457,n13112664
6141,n12499439,n12499163
6142,n12499757,n12499163
6143,n12499979,n12499163
6144,n12500751,n12499163
6145,n12499163,n13112664
6146,n12504306,n12504094
6147,n12504570,n12504094
6148,n12504783,n12504094
6149,n12504094,n13112664
6150,n12505752,n13112664
6151,n12506784,n13112664
6152,n12507823,n13112664
6153,n12510774,n13112664
6154,n12512095,n12511856
6155,n12512294,n12511856
6156,n12511856,n13112664
6157,n12514138,n13112664
6158,n12514592,n13112664
6159,n12515393,n13112664
6160,n12516828,n12516584
6161,n12517077,n12516584
6162,n12516584,n13112664
6163,n12518013,n13112664
6164,n12518481,n13112664
6165,n12519089,n12518879
6166,n12518879,n13112664
6167,n12514992,n12520864
6168,n12521186,n12520864
6169,n12521394,n12520864
6170,n12530439,n12520864
6171,n12530629,n12520864
6172,n12530818,n12520864
6173,n12571330,n12520864
6174,n12520864,n13112664
6175,n12524633,n13112664
6176,n12525168,n13112664
6177,n12525513,n13112664
6178,n12529905,n13112664
6179,n12531328,n13112664
6180,n12533730,n13112664
6181,n12535593,n13112664
6182,n12536291,n12536040
6183,n12536040,n13112664
6184,n12546617,n13112664
6185,n12550408,n12550210
6186,n12550210,n13112664
6187,n12559044,n13112664
6188,n12561897,n13112664
6189,n12562141,n13112664
6190,n12567490,n13112664
6191,n12567950,n13112664
6192,n12572188,n13112664
6193,n12574866,n13112664
6194,n12579404,n13112664
6195,n12620661,n12620196
6196,n12620779,n12620196
6197,n12620969,n12620196
6198,n12621110,n12620196
6199,n12621260,n12620196
6200,n12621410,n12620196
6201,n12621619,n12620196
6202,n12621945,n12620196
6203,n12622072,n12620196
6204,n12622297,n12620196
6205,n12622483,n12620196
6206,n12620196,n13112664
6207,n12623818,n12623524
6208,n12624055,n12623524
6209,n12623524,n13112664
6210,n12624568,n12624381
6211,n12624721,n12624381
6212,n12624381,n13112664
6213,n12625670,n12625383
6214,n12625823,n12625383
6215,n12625383,n13112664
6216,n12626674,n12626353
6217,n12626878,n12626353
6218,n12627119,n12626353
6219,n12627347,n12626353
6220,n12627526,n12626353
6221,n12627750,n12626353
6222,n12628060,n12626353
6223,n12628356,n12626353
6224,n12628579,n12626353
6225,n12628705,n12626353
6226,n12626353,n13112664
6227,n12633061,n13112664
6228,n12637123,n12636885
6229,n12636885,n13112664
6230,n12646950,n13112664
6231,n12648424,n13112664
6232,n12649723,n13112664
6233,n12651229,n13112664
6234,n12659539,n12659356
6235,n12659356,n13112664
6236,n12662379,n13112664
6237,n12666965,n12666768
6238,n12666768,n13112664
6239,n12668131,n12667964
6240,n12667964,n13112664
6241,n12669362,n13112664
6242,n12670334,n13112664
6243,n12671651,n13112664
6244,n12672083,n13112664
6245,n12672289,n13112664
6246,n12672631,n13112664
6247,n12673012,n13112664
6248,n12674484,n12674120
6249,n12677331,n12674685
6250,n12674685,n12674120
6251,n12674895,n12674120
6252,n12675100,n12674120
6253,n12675299,n12674120
6254,n12675515,n12674120
6255,n12675716,n12674120
6256,n12675876,n12674120
6257,n12676134,n12674120
6258,n12676370,n12674120
6259,n12676534,n12674120
6260,n12676703,n12674120
6261,n12676940,n12674120
6262,n12677120,n12674120
6263,n12674120,n13112664
6264,n12677841,n13112664
6265,n12678548,n12678224
6266,n12678794,n12678224
6267,n12679023,n12678224
6268,n12679201,n12678224
6269,n12679432,n12678224
6270,n12679593,n12678224
6271,n12678224,n13112664
6272,n12680402,n13112664
6273,n12680652,n13112664
6274,n12680864,n13112664
6275,n12681141,n13112664
6276,n12681376,n13112664
6277,n12681579,n13112664
6278,n12681893,n13112664
6279,n12690046,n13112664
6280,n12690240,n13112664
6281,n12721122,n13112664
6282,n12723062,n13112664
6283,n12746253,n12746106
6284,n12746106,n13112664
6285,n12747831,n13112664
6286,n12749289,n12749049
6287,n12749456,n12749049
6288,n12749049,n13112664
6289,n12749679,n13112664
6290,n12749852,n13112664
6291,n12750767,n13112664
6292,n12751675,n13112664
6293,n12757115,n13112664
6294,n12760316,n12760132
6295,n12760539,n12760132
6296,n12760132,n13112664
6297,n12760875,n13112664
6298,n12762049,n13112664
6299,n12763291,n12762896
6300,n12763529,n12762896
6301,n12763762,n12762896
6302,n12764008,n12762896
6303,n12764202,n12762896
6304,n12764507,n12762896
6305,n12762896,n13112664
6306,n12772908,n12772753
6307,n12773142,n12772753
6308,n12772753,n13112664
6309,n12777680,n12777436
6310,n12777778,n12777436
6311,n12777892,n12777436
6312,n12777436,n13112664
6313,n12788487,n12788201
6314,n12788678,n12788201
6315,n12788854,n12788201
6316,n12789054,n12788201
6317,n12789226,n12788201
6318,n12789554,n12788201
6319,n12789977,n12788201
6320,n12790430,n12788201
6321,n12788201,n13112664
6322,n12791329,n12791064
6323,n12791064,n13112664
6324,n12791790,n13112664
6325,n12797860,n13112664
6326,n12805373,n12805146
6327,n12805561,n12805146
6328,n12805762,n12805146
6329,n12805899,n12805146
6330,n12805146,n13112664
6331,n12806015,n13112664
6332,n12812801,n13112664
6333,n12815198,n13112664
6334,n12831535,n13112664
6335,n12835766,n13112664
6336,n12845908,n13112664
6337,n12849952,n12849717
6338,n12850168,n12849717
6339,n12850336,n12849717
6340,n12849717,n13112664
6341,n12851860,n13112664
6342,n12862828,n13112664
6343,n12885510,n13112664
6344,n12897118,n13112664
6345,n12897999,n13112664
6346,n12899166,n13112664
6347,n12899537,n13112664
6348,n12899752,n13112664
6349,n12899971,n13112664
6350,n12900783,n12900462
6351,n12900987,n12900462
6352,n12901264,n12900462
6353,n12901565,n12900462
6354,n12901724,n12900462
6355,n12902021,n12900462
6356,n12900462,n13112664
6357,n12902466,n13112664
6358,n12902662,n13112664
6359,n12903014,n13112664
6360,n12903503,n12903367
6361,n12903367,n13112664
6362,n12903964,n13112664
6363,n12905135,n12904938
6364,n12904938,n13112664
6365,n12905412,n13112664
6366,n12913791,n13112664
6367,n12914193,n13112664
6368,n12918404,n12917901
6369,n12918609,n12917901
6370,n12918810,n12917901
6371,n12918991,n12917901
6372,n12919195,n12917901
6373,n12919403,n12917901
6374,n12919646,n12917901
6375,n12919847,n12917901
6376,n12920043,n12917901
6377,n12920204,n12917901
6378,n12920521,n12917901
6379,n12920719,n12917901
6380,n12920955,n12917901
6381,n12921126,n12917901
6382,n12921315,n12917901
6383,n12921499,n12917901
6384,n12921660,n12917901
6385,n12921868,n12917901
6386,n12922119,n12917901
6387,n12917901,n13112664
6388,n12922458,n13112664
6389,n12923108,n12922763
6390,n12922763,n13112664
6391,n12923652,n13112664
6392,n12924623,n13112664
6393,n12926689,n12926480
6394,n12927194,n12926480
6395,n12926480,n13112664
6396,n12928307,n12928071
6397,n12928491,n12928071
6398,n12928071,n13112664
6399,n12929600,n12929403
6400,n12929403,n13112664
6401,n12929783,n13112664
6402,n12938193,n13112664
6403,n12949160,n13112664
6404,n12949361,n13112664
6405,n13118330,n13112664
6406,n13118398,n13112664
6407,n12235479,n13118569
6408,n12235765,n13118569
6409,n12342852,n13118569
6410,n13118569,n13112664
6411,n11751974,n11751765
6412,n11752168,n11751765
6413,n11751765,n13118707
6414,n11770753,n13118707
6415,n11778092,n11777929
6416,n11778257,n11777929
6417,n11777929,n13118707
6418,n11797722,n13118707
6419,n11797981,n13118707
6420,n11798270,n13118707
6421,n11826715,n11826569
6422,n11826569,n13118707
6423,n11897466,n13118707
6424,n11907689,n13118707
6425,n11924661,n11924445
6426,n11924849,n11924445
6427,n11924445,n13118707
6428,n11925898,n13118707
6429,n11930788,n11928858
6430,n11931540,n11928858
6431,n11928858,n11928549
6432,n11929291,n11928549
6433,n11929477,n11928549
6434,n11929743,n11928549
6435,n11930038,n11928549
6436,n11930571,n11928549
6437,n11930994,n11928549
6438,n11931312,n11928549
6439,n12014355,n11928549
6440,n11928549,n13118707
6441,n11929880,n11929027
6442,n11930353,n11929027
6443,n11931135,n11929027
6444,n12014085,n11929027
6445,n12014524,n11929027
6446,n11929027,n13118707
6447,n11940349,n11940006
6448,n11940599,n11940006
6449,n11940750,n11940006
6450,n11940915,n11940006
6451,n11940006,n13118707
6452,n11947429,n11947251
6453,n11947629,n11947251
6454,n11948044,n11947251
6455,n11941094,n11948264
6456,n11941178,n11948264
6457,n11948656,n11948264
6458,n11948864,n11948264
6459,n11948264,n11947251
6460,n11947251,n13118707
6461,n11974373,n11974126
6462,n11974557,n11974126
6463,n11974888,n11974126
6464,n11974126,n13118707
6465,n12000851,n13118707
6466,n12001294,n13118707
6467,n12092930,n13118707
6468,n12099031,n12098827
6469,n12098827,n13118707
6470,n12099342,n13118707
6471,n12204730,n13118707
6472,n12251001,n13118707
6473,n12328567,n12328398
6474,n12328801,n12328398
6475,n12328398,n13118707
6476,n12350032,n13118707
6477,n12368028,n12367611
6478,n12368257,n12367611
6479,n12368451,n12367611
6480,n12368637,n12367611
6481,n12368847,n12367611
6482,n12369066,n12367611
6483,n12369309,n12367611
6484,n12369476,n12367611
6485,n12369665,n12367611
6486,n12369845,n12367611
6487,n12367611,n13118707
6488,n12376553,n13118707
6489,n12376740,n13118707
6490,n12494358,n13118707
6491,n12500518,n13118707
6492,n12526754,n12526516
6493,n12526516,n13118707
6494,n12534625,n13118707
6495,n12534862,n13118707
6496,n12535254,n13118707
6497,n12544862,n13118707
6498,n12545232,n13118707
6499,n12545429,n13118707
6500,n12545635,n13118707
6501,n12546962,n13118707
6502,n12552893,n13118707
6503,n12553114,n13118707
6504,n12572759,n12572546
6505,n12572858,n12572546
6506,n12572546,n13118707
6507,n12601805,n13118707
6508,n12602434,n12602262
6509,n12602612,n12602262
6510,n12602262,n13118707
6511,n12629305,n13118707
6512,n12631637,n12631331
6513,n12631813,n12631331
6514,n12631932,n12631331
6515,n12632072,n12631331
6516,n12632335,n12631331
6517,n12632526,n12631331
6518,n12632733,n12631331
6519,n12631331,n13118707
6520,n12642734,n13118707
6521,n12661661,n12661538
6522,n12661538,n13118707
6523,n12673588,n12673328
6524,n12673328,n13118707
6525,n12705220,n12705013
6526,n12705458,n12705013
6527,n12705698,n12705013
6528,n12705978,n12705013
6529,n12706410,n12705013
6530,n12705013,n13118707
6531,n12723610,n13118707
6532,n12747120,n12746884
6533,n12747371,n12746884
6534,n12746884,n13118707
6535,n12786836,n13118707
6536,n12861345,n13118707
6537,n12861541,n13118707
6538,n12869668,n12869478
6539,n12869874,n12869478
6540,n12870048,n12869478
6541,n12870225,n12869478
6542,n12869478,n13118707
6543,n12871484,n12871272
6544,n12871696,n12871272
6545,n12871859,n12871272
6546,n12871272,n13118707
6547,n12938081,n13118707
6548,n13118707,n13112664
6549,n12489815,n13120003
6550,n12490054,n13120003
6551,n12538209,n13120003
6552,n12538380,n13120003
6553,n12776774,n13120003
6554,n13120003,n13112664
6555,n13141564,n13141141
6556,n13141972,n13141141
6557,n13142182,n13141141
6558,n13142380,n13141141
6559,n13142504,n13141141
6560,n13141141,n13112664
6561,n13143285,n13112664
6562,n13143483,n13112664
6563,n13143758,n13112664
6564,n13239177,n13238988
6565,n13238988,n13112664
6566,n13112664,n13103136
6567,n12653436,n12653218
6568,n12653633,n12653218
6569,n12654012,n12653762
6570,n12654227,n12653762
6571,n12655245,n12654387
