,gloss,wnid,words
3200,predominant yew in Europe; extraordinarily long-lived and slow growing; one of the oldest species in the world,n11661909,"Old World yew, English yew, Taxus baccata"
3201,small or medium irregularly branched tree of the Pacific coast of North America; yields fine hard close-grained wood,n11662128,"Pacific yew, California yew, western yew, Taxus brevifolia"
3202,shrubby hardy evergreen of China and Japan having lustrous dark green foliage; cultivated in the eastern United States,n11662371,"Japanese yew, Taxus cuspidata"
3203,small bushy yew of northern Florida having spreading branches and very narrow leaves,n11662585,"Florida yew, Taxus floridana"
3204,large yew native to New Caledonia; cultivated in eastern Australia and New Zealand and Hawaii,n11662937,"New Caledonian yew, Austrotaxus spicata"
3205,"yew of southeastern China, differing from the Old World yew in having white berries",n11663263,"white-berry yew, Pseudotaxus chienii"
3206,any tree having seeds and ovules contained in the ovary,n13109733,"angiospermous tree, flowering tree"
3207,evergreen Asian tree with aromatic greenish-yellow flowers yielding a volatile oil; widely grown in the tropics as an ornamental,n11695974,"ilang-ilang, ylang-ylang, Cananga odorata"
3208,rapidly growing deciduous tree of low mountainsides of China and Japan; grown as an ornamental for its dark blue-green candy-scented foliage that becomes yellow to scarlet in autumn,n11702713,"katsura tree, Cercidiphyllum japonicum"
3209,any of various aromatic trees of the laurel family,n11703669,laurel
3210,small Mediterranean evergreen tree with small blackish berries and glossy aromatic leaves used for flavoring in cooking; also used by ancient Greeks to crown victors,n11704093,"true laurel, bay, bay laurel, bay tree, Laurus nobilis"
3211,large evergreen tree of warm regions whose aromatic wood yields camphor,n11704620,"camphor tree, Cinnamomum camphora"
3212,tropical Asian tree with aromatic yellowish-brown bark; source of the spice cinnamon,n11704791,"cinnamon, Ceylon cinnamon, Ceylon cinnamon tree, Cinnamomum zeylanicum"
3213,Chinese tree with aromatic bark; yields a less desirable cinnamon than Ceylon cinnamon,n11705171,"cassia, cassia-bark tree, Cinnamomum cassia"
3214,tropical southeast Asian tree with aromatic bark; yields a bark used medicinally,n11705573,"Saigon cinnamon, Cinnamomum loureirii"
3215,small tree of southern United States having dark red heartwood,n11706942,"laurel-tree, red bay, Persea borbonia"
3216,yellowwood tree with brittle wood and aromatic leaves and bark; source of sassafras oil; widely distributed in eastern North America,n11707229,"sassafras, sassafras tree, Sassafras albidum"
3217,Pacific coast tree having aromatic foliage and small umbellate flowers followed by olivelike fruit; yields a hard tough wood,n11707827,"California laurel, California bay tree, Oregon myrtle, pepperwood, spice tree, sassafras laurel, California olive, mountain laurel, Umbellularia californica"
3218,any shrub or tree of the genus Magnolia; valued for their longevity and exquisite fragrant blooms,n11709674,magnolia
3219,evergreen tree of southern United States having large stiff glossy leaves and huge white sweet-smelling flowers,n11710136,"southern magnolia, evergreen magnolia, large-flowering magnolia, bull bay, Magnolia grandiflora"
3220,small deciduous tree of eastern North America having creamy white flowers and large leaves in formations like umbrellas at the ends of branches,n11710393,"umbrella tree, umbrella magnolia, elkwood, elk-wood, Magnolia tripetala"
3221,small erect deciduous tree with large leaves in coiled formations at branch tips,n11710658,"earleaved umbrella tree, Magnolia fraseri"
3222,American deciduous magnolia having large leaves and fruit like a small cucumber,n11710827,"cucumber tree, Magnolia acuminata"
3223,large deciduous shrub or tree of southeastern United States having huge leaves in dense false whorls and large creamy flowers tinged purple toward the base,n11710987,"large-leaved magnolia, large-leaved cucumber tree, great-leaved macrophylla, Magnolia macrophylla"
3224,large deciduous shrub or small tree having large open rosy to purplish flowers; native to Asia; prized as an ornamental in eastern North America,n11711289,"saucer magnolia, Chinese magnolia, Magnolia soulangiana"
3225,deciduous shrubby magnolia from Japan having fragrant white starlike flowers blooming before leaves unfold; grown as an ornamental in United States,n11711537,"star magnolia, Magnolia stellata"
3226,shrub or small tree having rather small fragrant white flowers; abundant in southeastern United States,n11711764,"sweet bay, swamp bay, swamp laurel, Magnolia virginiana"
3227,a genus of flowering tree of the family Magnoliaceae found from Malay to southern China,n11711971,"manglietia, genus Manglietia"
3228,tall North American deciduous timber tree having large tulip-shaped greenish yellow flowers and conelike fruit; yields soft white woods used especially for cabinet work,n11712282,"tulip tree, tulip poplar, yellow poplar, canary whitewood, Liriodendron tulipifera"
3229,small Central American tree having loose racemes of purple-tinted green flowers,n11903333,"bocconia, tree celandine, Bocconia frutescens"
3230,Australian tree having an agreeably acid fruit that resembles a gourd,n12189779,"cream-of-tartar tree, sour gourd, Adansonia gregorii"
3231,African tree having an exceedingly thick trunk and fruit that resembles a gourd and has an edible pulp called monkey bread,n12189987,"baobab, monkey-bread tree, Adansonia digitata"
3232,massive tropical tree with deep ridges on its massive trunk and bearing large pods of seeds covered with silky floss; source of the silky kapok fiber,n12190410,"kapok, ceiba tree, silk-cotton tree, white silk-cotton tree, Bombay ceiba, God tree, Ceiba pentandra"
3233,forest tree of lowland Central America having a strong very light wood; used for making floats and rafts and in crafts,n12191587,"balsa, Ochroma lagopus"
3234,any tree of the genus Sterculia,n12195391,sterculia
3235,large deciduous tree native to Panama and from which the country takes its name; having densely leafy crown and naked trunk,n12195533,"Panama tree, Sterculia apetala"
3236,large tree of Old World tropics having foul-smelling orange-red blossoms followed by red pods enclosing oil-rich seeds sometimes used as food,n12195734,"kalumpang, Java olives, Sterculia foetida"
3237,large tree of Australasia,n12199790,"red beech, brown oak, booyong, crow's foot, stave wood, silky elm, Heritiera trifoliolata, Terrietia trifoliolata"
3238,large evergreen tree of India and Burma whose leaves are silvery beneath,n12199982,"looking glass tree, Heritiera macrophylla"
3239,small tree of coastal regions of Old World tropics whose leaves are silvery beneath,n12200143,"looking-glass plant, Heritiera littoralis"
3240,tropical American tree producing cacao beans,n12201580,"cacao, cacao tree, chocolate tree, Theobroma cacao"
3241,seed of the cacao tree; ground roasted beans are source of chocolate,n07754894,"cacao bean, cocoa bean"
3242,slender elegant tree of New Zealand having racemes of red flowers and yielding valuable mottled red timber,n12219668,"rewa-rewa, New Zealand honeysuckle"
3243,deciduous shrubby tree of eastern North America having deeply fissured bark and sprays of small fragrant white flowers and sour-tasting leaves,n12242409,"sorrel tree, sourwood, titi, Oxydendrum arboreum"
3244,a small slow-growing deciduous tree of northern Iran having a low domed shape,n12317296,"iron tree, iron-tree, ironwood, ironwood tree"
3245,small deciduous tree of the Transvaal having spikes of yellow flowers,n12324388,"bush willow, Combretum appiculatum"
3246,small South African tree having creamy yellow fragrant flowers usually growing on stream banks,n12324558,"bush willow, Combretum erythrophyllum"
3247,"native to Asia, Australia, and East Indies, where it provides timber called pyinma; used elsewhere as an ornamental for its large showy flowers",n12329473,"Queen's crape myrtle, pride-of-India, Lagerstroemia speciosa"
3248,trees and shrubs,n12330239,myrtaceous tree
3249,any evergreen shrub or tree of the genus Myrtus,n12330469,myrtle
3250,European shrub with white or rosy flowers followed by black berries,n12330587,"common myrtle, Myrtus communis"
3251,a tropical tree or shrub bearing fruit that germinates while still on the tree and having numerous prop roots that eventually form an impenetrable mass and are important in land building,n12345899,"mangrove, Rhizophora mangle"
3252,any of several evergreen trees or shrubs of the genus Dillenia grown for their foliage and nodding flowers resembling magnolias which are followed by fruit that is used in curries and jellies and preserves,n12363301,dillenia
3253,low spreading tree of Indonesia yielding an orange to brown gum resin (gamboge) used as a pigment when powdered,n12366870,"gamboge tree, Garcinia hanburyi, Garcinia cambogia, Garcinia gummi-gutta"
3254,Hawaiian tree of genus Pipturus having a bark (tapa) from which tapa cloth is made,n12396091,Pipturus albidus
3255,shrubby Asiatic tree having bark (tapa) that resembles cloth; grown as a shade tree in Europe and America; male flowers are pendulous catkins and female are urn-shaped followed by small orange-red aggregate berries,n12403994,"paper mulberry, Broussonetia papyrifera"
3256,tropical American tree with large peltate leaves and hollow stems,n12404729,"trumpetwood, trumpet-wood, trumpet tree, snake wood, imbauba, Cecropia peltata"
3257,small East Indian tree having orchid-like flowers and hard dark wood,n12491017,"mountain ebony, orchid tree, Bauhinia variegata"
3258,showy tropical tree or shrub native to Madagascar; widely planted in tropical regions for its immense racemes of scarlet and orange flowers; sometimes placed in genus Poinciana,n12494794,"royal poinciana, flamboyant, flame tree, peacock flower, Delonix regia, Poinciana regia"
3259,small tree of the eastern Mediterranean having abundant purplish-red flowers growing on old wood directly from stems and appearing before the leaves: widely cultivated in mild regions; wood valuable for veneers,n12513613,"Judas tree, love tree, Circis siliquastrum"
3260,small shrubby tree of eastern North America similar to the Judas tree having usually pink flowers; found in damp sheltered underwood,n12513933,"redbud, Cercis canadensis"
3261,small flowering evergreen tree of southern United States,n12643113,"cherry laurel, laurel cherry, mock orange, wild orange, Prunus caroliniana"
3262,tree bearing edible fruit,n12651821,fruit tree
3263,any of several tropical American trees bearing fruit with soft edible pulp,n11693981,"custard apple, custard apple tree"
3264,small tropical American tree bearing round or oblong fruit,n11694300,"cherimoya, cherimoya tree, Annona cherimola"
3265,tropical American tree grown in southern United States having a whitish pink-tinged fruit,n11694469,"ilama, ilama tree, Annona diversifolia"
3266,small tropical American tree bearing large succulent slightly acid fruit,n11694664,"soursop, prickly custard apple, soursop tree, Annona muricata"
3267,small tropical American tree bearing a bristly heart-shaped acid tropical fruit,n11694866,"bullock's heart, bullock's heart tree, bullock heart, Annona reticulata"
3268,tropical American tree bearing sweet pulpy fruit with thick scaly rind and shiny black seeds,n11695085,"sweetsop, sweetsop tree, Annona squamosa"
3269,small evergreen tree of tropical America with edible fruit; used chiefly as grafting stock,n11695285,"pond apple, pond-apple tree, Annona glabra"
3270,small tree native to the eastern United States having oblong leaves and fleshy fruit,n11695599,"pawpaw, papaw, papaw tree, Asimina triloba"
3271,tropical American tree bearing large pulpy green fruits,n11706761,"avocado, avocado tree, Persea Americana"
3272,tree of southeastern Asia having edible oval fruit with a hard spiny rind,n12190869,"durian, durion, durian tree, Durio zibethinus"
3273,glabrous or pubescent evergreen shrub or tree of the genus Salvadora; twigs are fibrous and in some parts of the world are bound together in clusters and used as a toothbrush; shoots are used as camel fodder; plant ash provides salt,n12299640,"toothbrush tree, mustard tree, Salvadora persica"
3274,a tree of the genus Olea cultivated for its fruit,n12300840,olive tree
3275,evergreen tree cultivated in the Mediterranean region since antiquity and now elsewhere; has edible shiny black fruits,n12301180,"olive, European olive tree, Olea europaea"
3276,northern Zealand tree having dense hard light-brown wood,n12301613,"black maire, Olea cunninghamii"
3277,small New Zealand tree having red pulpy one-seeded fruit,n12301766,"white maire, Olea lanceolata"
3278,West Indian tree bearing edible fruit resembling mango,n12327528,"anchovy pear, anchovy pear tree, Grias cauliflora"
3279,Australian tree with sour red fruit,n12331655,"sour cherry, Eugenia corynantha"
3280,Brazilian tree with spicy red fruit; often cultivated in California and Florida,n12332030,"Surinam cherry, pitanga, Eugenia uniflora"
3281,tropical tree of the East Indies cultivated for its edible fruit,n12332218,"rose apple, rose-apple tree, jambosa, Eugenia jambos"
3282,small evergreen tropical tree native to Brazil and West Indies but introduced into southern United States; grown in Brazil for its edible tough-skinned purple grapelike fruit that grows all along the branches,n12333053,"jaboticaba, jaboticaba tree, Myrciaria cauliflora"
3283,small tropical American shrubby tree; widely cultivated in warm regions for its sweet globular yellow fruit,n12333530,"guava, true guava, guava bush, Psidium guajava"
3284,small tropical shrubby tree bearing small yellowish fruit,n12333771,"guava, strawberry guava, yellow cattley guava, Psidium littorale"
3285,small tropical shrubby tree bearing deep red oval fruit,n12333961,"cattley guava, purple strawberry guava, Psidium cattleianum, Psidium littorale longipes"
3286,South American tree having fruit similar to the true guava,n12334153,"Brazilian guava, Psidium guineense"
3287,shrub or small tree native to southwestern Asia having large red many-seeded fruit,n12345280,"pomegranate, pomegranate tree, Punica granatum"
3288,East Indian tree with thick leathery leaves and edible fruit,n12366675,"mangosteen, mangosteen tree, Garcinia mangostana"
3289,tropical American tree having edible fruit with a leathery rind,n12370174,"mammee apple, mammee, mamey, mammee tree, Mammea americana"
3290,tropical American shrub or small tree having huge deeply palmately cleft leaves and large oblong yellow fruit,n12373100,"papaya, papaia, pawpaw, papaya tree, melon tree, Carica papaya"
3291,any of several trees of the genus Morus having edible fruit that resembles the blackberry,n12399132,"mulberry, mulberry tree"
3292,Asiatic mulberry with white to pale red fruit; leaves used to feed silkworms,n12399384,"white mulberry, Morus alba"
3293,European mulberry having dark foliage and fruit,n12399534,"black mulberry, Morus nigra"
3294,North American mulberry having dark purple edible fruit,n12399656,"red mulberry, Morus rubra"
3295,native to Pacific islands and having edible fruit with a texture like bread,n12400489,"breadfruit, breadfruit tree, Artocarpus communis, Artocarpus altilis"
3296,East Indian tree cultivated for its immense edible fruit and seeds,n12400720,"jackfruit, jackfruit tree, Artocarpus heterophyllus"
3297,Philippine tree similar to the breadfruit tree bearing edible fruit,n12400924,"marang, marang tree, Artocarpus odoratissima"
3298,small tropical American tree bearing edible plumlike fruit,n12625003,"coco plum, coco plum tree, cocoa plum, icaco, Chrysobalanus icaco"
3299,small Asian tree with pinkish flowers and pear-shaped fruit; widely cultivated,n12628986,"quince, quince bush, Cydonia oblonga"
3300,evergreen tree of warm regions having fuzzy yellow olive-sized fruit with a large free stone; native to China and Japan,n12629666,"loquat, loquat tree, Japanese medlar, Japanese plum, Eriobotrya japonica"
3301,any tree of the genus Malus especially those bearing firm rounded edible fruits,n12633638,apple tree
3302,native Eurasian tree widely cultivated in many varieties for its firm rounded edible fruits,n12633994,"apple, orchard apple tree, Malus pumila"
3303,any of numerous wild apple trees usually with small acidic fruit,n12634211,"wild apple, crab apple, crabapple"
3304,wild crab apple native to Europe; a chief ancestor of cultivated apples,n12634986,"wild crab, Malus sylvestris"
3305,medium-sized tree of the eastern United States having pink blossoms and small yellow fruit,n12635151,"American crab apple, garland crab, Malus coronaria"
3306,small tree or shrub of western United States having white blossoms and tiny yellow or red fruit,n12635359,"Oregon crab apple, Malus fusca"
3307,wild crab apple of western United States with fragrant pink flowers,n12635744,"Iowa crab, Iowa crab apple, prairie crab, western crab apple, Malus ioensis"
3308,derived from the Iowa crab and cultivated for its large double pink blossoms,n12635955,"Bechtel crab, flowering crab"
3309,any of numerous varieties of crab apples cultivated for their small acidic (usually bright red) fruit used for preserves or as ornamentals for their blossoms,n12634429,"crab apple, crabapple, cultivated crab apple"
3310,Asian wild crab apple cultivated in many varieties for it small acid usually red fruit used for preserving,n12634734,"Siberian crab, Siberian crab apple, cherry apple, cherry crab, Malus baccata"
3311,small tree or shrub of southeastern United States; cultivated as an ornamental for its rose-colored blossoms,n12635532,"Southern crab apple, flowering crab, Malus angustifolia"
3312,small deciduous Eurasian tree cultivated for its fruit that resemble crab apples,n12636224,"medlar, medlar tree, Mespilus germanica"
3313,any of several trees producing edible oval fruit having a smooth skin and a single hard stone,n12638218,"plum, plum tree"
3314,an uncultivated plum tree or shrub,n12638556,"wild plum, wild plum tree"
3315,wild plum of northeastern United States having dark purple fruits with yellow flesh,n12638753,"Allegheny plum, Alleghany plum, sloe, Prunus alleghaniensis"
3316,wild plum trees of eastern and central North America having red-orange fruit with yellow flesh,n12638964,"American red plum, August plum, goose plum, Prunus americana"
3317,small native American shrubby tree bearing small edible yellow to reddish fruit,n12639168,"chickasaw plum, hog plum, hog plum bush, Prunus angustifolia"
3318,seacoast shrub of northeastern North America having showy white blossoms and edible purple fruit,n12639376,"beach plum, beach plum bush, Prunus maritima"
3319,California evergreen wild plum with spiny leathery leaves and white flowers,n12646397,"holly-leaved cherry, holly-leaf cherry, evergreen cherry, islay, Prunus ilicifolia"
3320,any of various widely distributed plums grown in the cooler temperate areas,n12639584,"common plum, Prunus domestica"
3321,small wild or half-domesticated Eurasian plum bearing small ovoid fruit in clusters,n12639736,"bullace, Prunus insititia"
3322,plum tree long cultivated for its edible fruit,n12639910,"damson plum, damson plum tree, Prunus domestica insititia"
3323,small tree of southwestern United States having purplish-red fruit sometimes cultivated as an ornamental for its large leaves,n12640081,"big-tree plum, Prunus mexicana"
3324,small tree native to northeastern North America having oblong orange-red fruit,n12640284,"Canada plum, Prunus nigra"
3325,small Asiatic tree bearing edible red or yellow fruit,n12643313,"cherry plum, myrobalan, myrobalan plum, Prunus cerasifera"
3326,small tree of China and Japan bearing large yellow to red plums usually somewhat inferior to European plums in flavor,n12648693,"Japanese plum, Prunus salicina"
3327,shrub of the Pacific coast of the United States bearing small red insipid fruit,n12649866,"Sierra plum, Pacific plum, Prunus subcordata"
3328,hybrid produced by crossing Prunus domestica and Prunus armeniaca,n12640435,"plumcot, plumcot tree"
3329,Asian tree having clusters of usually white blossoms and edible fruit resembling the peach,n12640607,"apricot, apricot tree"
3330,Japanese ornamental tree with fragrant white or pink blossoms and small yellow fruits,n12640839,"Japanese apricot, mei, Prunus mume"
3331,temperate zone tree bearing downy yellow to rosy fruits,n12641007,"common apricot, Prunus armeniaca"
3332,small hybrid apricot of Asia and Asia Minor having purplish twigs and white flowers following by inferior purple fruit,n12641180,"purple apricot, black apricot, Prunus dasycarpa"
3333,any of numerous trees and shrubs producing a small fleshy round fruit with a single hard stone; many also produce a valuable hardwood,n12641413,"cherry, cherry tree"
3334,an uncultivated cherry tree,n12641931,"wild cherry, wild cherry tree"
3335,any of several small-fruited cherry trees frequented or fed on by birds,n12647376,"bird cherry, bird cherry tree"
3336,small European cherry tree closely resembling the American chokecherry,n12647560,"hagberry tree, European bird cherry, common bird cherry, Prunus padus"
3337,small shrubby North American wild cherry with small bright red acid fruit,n12647893,"pin cherry, Prunus pensylvanica"
3338,large North American wild cherry with round black sour edible fruit,n12648888,"black cherry, black cherry tree, rum cherry, Prunus serotina"
3339,large Eurasian tree producing small dark bitter fruit in the wild but edible sweet fruit under cultivation,n12642200,"sweet cherry, Prunus avium"
3340,wild or seedling sweet cherry used as stock for grafting,n12642600,"gean, mazzard, mazzard cherry"
3341,any of several cultivated sweet cherries having sweet juicy heart-shaped fruits,n12642435,"heart cherry, oxheart, oxheart cherry"
3342,Mexican black cherry tree having edible fruit,n12642964,"capulin, capulin tree, Prunus capuli"
3343,rather small Eurasian tree producing red to black acid edible fruit,n12643473,"sour cherry, sour cherry tree, Prunus cerasus"
3344,any of several cultivated sour cherry trees bearing pale red fruit with colorless juice,n12643688,"amarelle, Prunus cerasus caproniana"
3345,any of several cultivated sour cherry trees bearing fruit with dark skin and juice,n12643877,"morello, Prunus cerasus austera"
3346,Dalmatian bitter wild cherry tree bearing fruit whose juice is made into maraschino liqueur,n12644057,"marasca, marasca cherry, maraschino cherry, Prunus cerasus marasca"
3347,evergreen shrub or small tree found on Catalina Island (California),n12647231,"Catalina cherry, Prunus lyonii"
3348,any of several shrubs or trees of the genus Prunus cultivated for their showy white or pink single or double blossoms,n12649065,flowering cherry
3349,shrubby Japanese cherry tree having pale pink blossoms,n12646605,"fuji, fuji cherry, Prunus incisa"
3350,ornamental tree with inedible fruits widely cultivated in many varieties for its white blossoms,n12649317,"oriental cherry, Japanese cherry, Japanese flowering cherry, Prunus serrulata"
3351,ornamental tree with inedible fruit widely cultivated in many varieties for its pink blossoms,n12649539,"Japanese flowering cherry, Prunus sieboldii"
3352,shrub or tree native to Japan cultivated as an ornamental for its rose-pink flowers,n12650038,"rosebud cherry, winter flowering cherry, Prunus subhirtella"
3353,a common wild cherry of eastern North America having small bitter black berries favored by birds,n12650556,"chokecherry, chokecherry tree, Prunus virginiana"
3354,chokecherry of western United States,n12650915,"western chokecherry, Prunus virginiana demissa, Prunus demissa"
3355,any of several small bushy trees having pink or white blossoms and usually bearing nuts,n12644902,almond tree
3356,small bushy deciduous tree native to Asia and North Africa having pretty pink blossoms and highly prized edible nuts enclosed in a hard green hull; cultivated in southern Australia and California,n12645174,"almond, sweet almond, Prunus dulcis, Prunus amygdalus, Amygdalus communis"
3357,"variety of large almond from Malaga, Spain; used in confectionery",n12646072,jordan almond
3358,almond trees having white blossoms and poisonous nuts yielding an oil used for flavoring and for medicinal purposes,n12645530,"bitter almond, Prunus dulcis amara, Amygdalus communis amara"
3359,small Chinese shrub with smooth unfurrowed dark red fruit grown especially for its red or pink or white flowers,n12646197,"dwarf flowering almond, Prunus glandulosa"
3360,woody oriental plant with smooth unfurrowed red fruit grown especially for its white or pale pink blossoms,n12646740,"flowering almond, oriental bush cherry, Prunus japonica"
3361,Asiatic shrub cultivated for its rosy red flowers,n12650229,"Russian almond, dwarf Russian almond, Prunus tenella"
3362,deciduous Chinese shrub or small tree with often trilobed leaves grown for its pink-white flowers,n12650379,"flowering almond, Prunus triloba"
3363,cultivated in temperate regions,n12648045,"peach, peach tree, Prunus persica"
3364,variety or mutation of the peach bearing fruit with smooth skin and (usually) yellow flesh,n12648196,"nectarine, nectarine tree, Prunus persica nectarina"
3365,Old World tree having sweet gritty-textured juicy fruit; widely cultivated in many varieties,n12651611,"pear, pear tree, Pyrus communis"
3366,any tree of the genus Genipa bearing yellow flowers and edible fruit with a thick rind,n12667406,genipa
3367,tree of the West Indies and northern South America bearing succulent edible orange-sized fruit,n12667582,"genipap fruit, jagua, marmalade box, Genipa Americana"
3368,East Indian tree bearing deeply ridged yellow-brown fruit,n12704343,"carambola, carambola tree, Averrhoa carambola"
3369,East Indian evergreen tree bearing very acid fruit,n12704513,"bilimbi, Averrhoa bilimbi"
3370,any of numerous tropical usually thorny evergreen trees of the genus Citrus having leathery evergreen leaves and widely cultivated for their juicy edible fruits having leathery aromatic rinds,n12707781,"citrus, citrus tree"
3371,any citrus tree bearing oranges,n12708293,"orange, orange tree"
3372,any of various common orange trees yielding sour or bitter fruit; used as grafting stock,n12708654,"sour orange, Seville orange, bitter orange, bitter orange tree, bigarade, marmalade orange, Citrus aurantium"
3373,small tree with pear-shaped fruit whose oil is used in perfumery; Italy,n12708941,"bergamot, bergamot orange, Citrus bergamia"
3374,probably native to southern China; widely cultivated as source of table and juice oranges,n12710693,"sweet orange, sweet orange tree, Citrus sinensis"
3375,large citrus tree having large sweet deep orange fruit that is easily peeled; widely cultivated in Florida,n12710917,"temple orange, temple orange tree, tangor, king orange, Citrus nobilis"
3376,southeastern Asian tree producing large fruits resembling grapefruits,n12709103,"pomelo, pomelo tree, pummelo, shaddock, Citrus maxima, Citrus grandis, Citrus decumana"
3377,thorny evergreen small tree or shrub of India widely cultivated for its large lemonlike fruits that have thick warty rind,n12709349,"citron, citron tree, Citrus medica"
3378,citrus tree bearing large round edible fruit having a thick yellow rind and juicy somewhat acid pulp,n12709688,"grapefruit, Citrus paradisi"
3379,shrub or small tree having flattened globose fruit with very sweet aromatic pulp and thin yellow-orange to flame-orange rind that is loose and easily removed; native to southeastern Asia,n12709901,"mandarin, mandarin orange, mandarin orange tree, Citrus reticulata"
3380,a variety of mandarin orange,n12710295,"tangerine, tangerine tree"
3381,a variety of mandarin orange that is grown around the Mediterranean and in South Africa,n12710415,"clementine, clementine tree"
3382,a variety of mandarin orange,n12710577,"satsuma, satsuma tree"
3383,hybrid between grapefruit and mandarin orange; cultivated especially in Florida,n12711182,"tangelo, tangelo tree, ugli fruit, Citrus tangelo"
3384,hybrid between mandarin orange and lemon having very acid fruit with orange peel,n12711398,"rangpur, rangpur lime, lemanderin, Citrus limonia"
3385,a small evergreen tree that originated in Asia but is widely cultivated for its fruit,n12711596,"lemon, lemon tree, Citrus limon"
3386,lemon tree having fruit with a somewhat insipid sweetish pulp,n12711817,"sweet lemon, sweet lime, Citrus limetta"
3387,any of various related trees bearing limes,n12711984,"lime, lime tree, Citrus aurantifolia"
3388,more aromatic and acidic than oranges,n12712320,"citrange, citrange tree, Citroncirus webberi"
3389,any of several trees or shrubs of the genus Fortunella bearing small orange-colored edible fruits with thick sweet-flavored skin and sour pulp,n12713063,"kumquat, cumquat, kumquat tree"
3390,shrub bearing round-fruited kumquats,n12713358,"marumi, marumi kumquat, round kumquat, Fortunella japonica"
3391,shrub bearing oval-fruited kumquats,n12713521,"nagami, nagami kumquat, oval kumquat, Fortunella margarita"
3392,African tree with edible yellow fruit resembling mangos; valued for its oil-rich seed and hardy green wood that resists termites,n12717644,"wild mango, dika, wild mango tree, Irvingia gabonensis"
3393,widely cultivated in tropical and subtropical regions for its fragrant flowers and colorful fruits; introduced in Jamaica by William Bligh,n12742290,"akee, akee tree, Blighia sapida"
3394,tree of southeastern Asia to Australia grown primarily for its sweet edible fruit resembling litchi nuts; sometimes placed in genera Euphorbia or Nephelium,n12743352,"longan, lungen, longanberry, Dimocarpus longan, Euphorbia litchi, Nephelium longana"
3395,Chinese tree cultivated especially in Philippines and India for its edible fruit; sometimes placed in genus Nephelium,n12744387,"litchi, lichee, litchi tree, Litchi chinensis, Nephelium litchi"
3396,tropical American tree bearing a small edible fruit with green leathery skin and sweet juicy translucent pulp,n12744850,"Spanish lime, Spanish lime tree, honey berry, mamoncillo, genip, ginep, Melicocca bijuga, Melicocca bijugatus"
3397,Malayan tree bearing spiny red fruit,n12745386,"rambutan, rambotan, rambutan tree, Nephelium lappaceum"
3398,East Indian fruit tree bearing fruit similar to but sweeter than that of the rambutan,n12745564,"pulasan, pulassan, pulasan tree, Nephelium mutabile"
3399,large evergreen tropical tree cultivated for its large oval fruit,n12761284,"mango, mango tree, Mangifera indica"
3400,tropical American tree having edible yellow fruit,n12765846,"hog plum, yellow mombin, yellow mombin tree, Spondias mombin"
3401,common tropical American shrub or small tree with purplish fruit,n12766043,"mombin, mombin tree, jocote, Spondias purpurea"
3402,any of several tropical trees of the genus Diospyros,n12771192,"persimmon, persimmon tree"
3403,small deciduous Asiatic tree bearing large red or orange edible astringent fruit,n12771390,"Japanese persimmon, kaki, Diospyros kaki"
3404,medium-sized tree of dry woodlands in the southern and eastern United States bearing yellow or orange very astringent fruit that is edible when fully ripe,n12771597,"American persimmon, possumwood, Diospyros virginiana"
3405,an Asiatic persimmon tree cultivated for its small yellow or purplish-black edible fruit much valued by Afghan tribes,n12771890,"date plum, Diospyros lotus"
3406,evergreen tree of West Indies and Central America having edible purple fruit star-shaped in cross section and dark green leaves with golden silky undersides,n12773651,"star apple, caimito, Chrysophyllum cainito"
3407,large tropical American evergreen yielding chicle gum and edible fruit; sometimes placed in genus Achras,n12774641,"sapodilla, sapodilla tree, Manilkara zapota, Achras zapota"
3408,tropical tree of Florida and West Indies yielding edible fruit,n12775717,"canistel, canistel tree, Pouteria campechiana nervosa"
3409,any of various trees of the genus Sorbus,n12658118,mountain ash
3410,Eurasian tree with orange-red berrylike fruits,n12658308,"rowan, rowan tree, European mountain ash, Sorbus aucuparia"
3411,a variety of mountain ash,n12658603,"American mountain ash, Sorbus americana"
3412,an ash of the western coast of North America,n12658715,"Western mountain ash, Sorbus sitchensis"
3413,medium-sized European tree resembling the rowan but bearing edible fruit,n12658846,"service tree, sorb apple, sorb apple tree, Sorbus domestica"
3414,European tree bearing edible small speckled brown fruit,n12659064,"wild service tree, Sorbus torminalis"
3415,any of several deciduous Asian trees of the genus Ailanthus,n12717072,ailanthus
3416,deciduous rapidly growing tree of China with foliage like sumac and sweetish fetid flowers; widely planted in United States as a street tree because of its resistance to pollution,n12717224,"tree of heaven, tree of the gods, Ailanthus altissima"
3417,South American tree of dry interior regions of Argentina and Paraguay having resinous heartwood used for incense,n12721477,"palo santo, Bulnesia sarmienti"
3418,"small evergreen tree of Caribbean and southern Central America to northern South America; a source of lignum vitae wood, hardest of commercial timbers, and a medicinal resin",n12722071,"lignum vitae, Guaiacum officinale"
3419,small evergreen tree of the southern United States and West Indies a source of lignum vitae wood,n12722567,"bastard lignum vitae, Guaiacum sanctum"
3420,any of numerous trees of north temperate regions having light soft wood and flowers borne in catkins,n12731401,"poplar, poplar tree"
3421,poplar of northeastern North America with broad heart-shaped leaves,n12731835,"balsam poplar, hackmatack, tacamahac, Populus balsamifera"
3422,a poplar that is widely cultivated in the United States; has white bark and leaves with whitish undersurfaces,n12732009,"white poplar, white aspen, abele, aspen poplar, silver-leaved poplar, Populus alba"
